"","PlotID","Temperature","Density","DAS","Wei_all_per_m2"
"1","T2-49_1_0","High","sparse",56,570.707070707071
"2","T2-49_2_0","High","sparse",56,469.69696969697
"3","T2-50_1_0","Low","standard",56,439.506172839506
"4","T2-50_2_0","Low","standard",56,385.185185185185
"5","T2-51_1_0","Mid-Long","standard",56,750.617283950617
"6","T2-51_2_0","Mid-Long","standard",56,604.938271604938
"7","T2-52_1_0","Mid-Long","dense",56,1111.11111111111
"8","T2-52_2_0","Mid-Long","dense",56,903.703703703704
"9","T2-53_1_0","High","dense",56,790.123456790123
"10","T2-53_2_0","High","dense",56,686.41975308642
"11","T2-54_1_0","Low","sparse",56,343.434343434343
"12","T2-54_2_0","Low","sparse",56,310.606060606061
"13","T2-55_1_0","Mid-Short","standard",56,330.864197530864
"14","T2-55_2_0","Mid-Short","standard",56,516.049382716049
"15","T2-56_1_0","Mid-Short","sparse",56,707.070707070707
"16","T2-56_2_0","Mid-Short","sparse",56,525.252525252525
"17","T2-57_1_0","High","standard",56,938.271604938271
"18","T2-57_2_0","High","standard",56,637.037037037037
"19","T2-58_1_0","Mid-Long","sparse",56,858.585858585859
"20","T2-58_2_0","Mid-Long","sparse",56,739.89898989899
"21","T2-59_1_0","Mid-Short","dense",56,701.234567901234
"22","T2-59_2_0","Mid-Short","dense",56,666.666666666667
"23","T2-60_1_0","Low","dense",56,479.012345679012
"24","T2-60_2_0","Low","dense",56,409.876543209876
"25","T1-61_1_0","Mid-Short","standard",56,493.827160493827
"26","T1-61_2_0","Mid-Short","standard",56,720.987654320988
"27","T1-62_1_0","High","sparse",56,792.929292929293
"28","T1-62_2_0","High","sparse",56,929.292929292929
"29","T1-63_1_0","Mid-Long","standard",56,760.493827160494
"30","T1-63_2_0","Mid-Long","standard",56,609.876543209876
"31","T1-64_1_0","Mid-Short","sparse",56,815.656565656566
"32","T1-64_2_0","Mid-Short","sparse",56,568.181818181818
"33","T1-65_1_0","Mid-Long","dense",56,498.765432098765
"34","T1-65_2_0","Mid-Long","dense",56,481.481481481481
"35","T1-66_1_0","Low","dense",56,587.654320987654
"36","T1-66_2_0","Low","dense",56,804.938271604938
"37","T1-67_1_0","Low","sparse",56,247.474747474747
"38","T1-67_2_0","Low","sparse",56,424.242424242424
"39","T1-68_1_0","Low","standard",56,424.691358024691
"40","T1-68_2_0","Low","standard",56,474.074074074074
"41","T1-69_1_0","High","dense",56,634.567901234568
"42","T1-69_2_0","High","dense",56,612.345679012346
"43","T1-70_1_0","High","standard",56,925.925925925926
"44","T1-70_2_0","High","standard",56,777.777777777778
"45","T1-71_1_0","Mid-Long","sparse",56,555.555555555556
"46","T1-71_2_0","Mid-Long","sparse",56,462.121212121212
"47","T1-72_1_0","Mid-Short","dense",56,491.358024691358
"48","T1-72_2_0","Mid-Short","dense",56,671.604938271605
"49","T2-25_1_0","High","standard",70,2153.08641975309
"50","T2-25_2_0","High","standard",70,2632.0987654321
"51","T2-26_1_0","Mid-Short","standard",70,2175.30864197531
"52","T2-26_2_0","Mid-Short","standard",70,2980.24691358025
"53","T2-27_1_0","Mid-Short","dense",70,2150.61728395062
"54","T2-27_2_0","Mid-Short","dense",70,2427.16049382716
"55","T2-28_1_0","Mid-Long","standard",70,2123.45679012346
"56","T2-28_2_0","Mid-Long","standard",70,2074.07407407407
"57","T2-29_1_0","Low","dense",70,1790.12345679012
"58","T2-29_2_0","Low","dense",70,1804.93827160494
"59","T2-30_1_0","Mid-Long","dense",70,1780.24691358025
"60","T2-30_2_0","Mid-Long","dense",70,2528.39506172839
"61","T2-31_1_0","Mid-Short","sparse",70,1467.17171717172
"62","T2-31_2_0","Mid-Short","sparse",70,2078.28282828283
"63","T2-32_1_0","Mid-Long","sparse",70,2133.83838383838
"64","T2-32_2_0","Mid-Long","sparse",70,2643.93939393939
"65","T2-33_1_0","Low","standard",70,1476.54320987654
"66","T2-33_2_0","Low","standard",70,2027.16049382716
"67","T2-34_1_0","Low","sparse",70,1553.0303030303
"68","T2-34_2_0","Low","sparse",70,1420.70707070707
"69","T2-35_1_0","High","sparse",70,1441.91919191919
"70","T2-35_2_0","High","sparse",70,1426.76767676768
"71","T2-36_1_0","High","dense",70,1619.75308641975
"72","T2-36_2_0","High","dense",70,2479.01234567901
"73","T1-37_1_0","Mid-Long","standard",70,2728.39506172839
"74","T1-37_2_0","Mid-Long","standard",70,2518.51851851852
"75","T1-38_1_0","High","standard",70,2567.9012345679
"76","T1-38_2_0","High","standard",70,2103.7037037037
"77","T1-39_1_0","Low","dense",70,1646.91358024691
"78","T1-39_2_0","Low","dense",70,2002.46913580247
"79","T1-40_2_0","High","sparse",70,2055.55555555556
"80","T1-41_1_0","Mid-Long","sparse",70,2085.85858585859
"81","T1-41_2_0","Mid-Long","sparse",70,2530.30303030303
"82","T1-42_1_0","Mid-Short","sparse",70,2186.86868686869
"83","T1-42_2_0","Mid-Short","sparse",70,2797.9797979798
"84","T1-43_1_0","Mid-Long","dense",70,2785.18518518518
"85","T1-44_1_0","Mid-Short","standard",70,2224.69135802469
"86","T1-44_2_0","Mid-Short","standard",70,1609.87654320988
"87","T1-45_1_0","Low","standard",70,1483.95061728395
"88","T1-45_2_0","Low","standard",70,1629.62962962963
"89","T1-46_1_0","Mid-Short","dense",70,2037.03703703704
"90","T1-46_2_0","Mid-Short","dense",70,2029.62962962963
"91","T1-47_1_0","High","dense",70,2306.17283950617
"92","T1-47_2_0","High","dense",70,2479.01234567901
"93","T1-48_1_0","Low","sparse",70,2040.40404040404
"94","T1-48_2_0","Low","sparse",70,2404.0404040404
"95","T2-13_1_0","Mid-Short","sparse",84,2914.14141414141
"96","T2-13_2_0","Mid-Short","sparse",84,3500
"97","T2-14_1_0","Mid-Long","sparse",84,3921.71717171717
"98","T2-14_2_0","Mid-Long","sparse",84,3621.21212121212
"99","T2-15_1_0","Low","standard",84,3471.6049382716
"100","T2-15_2_0","Low","standard",84,3175.30864197531
"101","T2-16_1_0","High","standard",84,4639.50617283951
"102","T2-16_2_0","High","standard",84,3483.95061728395
"103","T2-17_1_0","High","sparse",84,2997.47474747475
"104","T2-17_2_0","High","sparse",84,3217.17171717172
"105","T2-18_1_0","Mid-Long","dense",84,2938.27160493827
"106","T2-19_1_0","Mid-Short","dense",84,3469.13580246914
"107","T2-20_1_0","Low","sparse",84,3464.64646464646
"108","T2-20_2_0","Low","sparse",84,3876.26262626263
"109","T2-21_1_0","Mid-Short","standard",84,3348.14814814815
"110","T2-21_2_0","Mid-Short","standard",84,3286.41975308642
"111","T2-22_1_0","Mid-Long","standard",84,4143.20987654321
"112","T2-22_2_0","Mid-Long","standard",84,4219.75308641975
"113","T2-23_1_0","High","dense",84,3217.28395061728
"114","T2-23_2_0","High","dense",84,3027.16049382716
"115","T2-24_1_0","Low","dense",84,2441.97530864198
"116","T2-24_2_0","Low","dense",84,2325.92592592593
"117","T1-25_1_0","Mid-Short","standard",84,3856.79012345679
"118","T1-25_2_0","Mid-Short","standard",84,3787.65432098765
"119","T1-26_1_0","High","sparse",84,4002.52525252525
"120","T1-26_2_0","High","sparse",84,3661.61616161616
"121","T1-27_1_0","Mid-Long","sparse",84,3391.41414141414
"122","T1-27_2_0","Mid-Long","sparse",84,4222.22222222222
"123","T1-28_1_0","Mid-Short","sparse",84,3303.0303030303
"124","T1-28_2_0","Mid-Short","sparse",84,3434.34343434343
"125","T1-29_1_0","Low","standard",84,3762.96296296296
"126","T1-29_2_0","Low","standard",84,2785.18518518518
"127","T1-30_1_0","Low","dense",84,2960.49382716049
"128","T1-30_2_0","Low","dense",84,3466.66666666667
"129","T1-31_1_0","Mid-Long","dense",84,3967.9012345679
"130","T1-31_2_0","Mid-Long","dense",84,4093.82716049383
"131","T1-32_1_0","Mid-Long","standard",84,4901.23456790123
"132","T1-32_2_0","Mid-Long","standard",84,4437.03703703704
"133","T1-33_1_0","High","standard",84,3861.72839506173
"134","T1-33_2_0","High","standard",84,4227.16049382716
"135","T1-34_1_0","Low","sparse",84,3709.59595959596
"136","T1-34_2_0","Low","sparse",84,3232.32323232323
"137","T1-35_1_0","High","dense",84,4180.24691358025
"138","T1-35_2_0","High","dense",84,3291.35802469136
"139","T1-36_1_0","Mid-Short","dense",84,3143.20987654321
"140","T1-36_2_0","Mid-Short","dense",84,3819.75308641975
"141","T1-49_1_0","Low","standard",98,3938.27160493827
"142","T1-49_2_0","Low","standard",98,4535.8024691358
"143","T1-50_2_0","High","standard",98,5056.79012345679
"144","T1-51_1_0","Mid-Long","dense",98,4940.74074074074
"145","T1-51_2_0","Mid-Long","dense",98,5074.07407407407
"146","T1-52_1_0","High","sparse",98,5121.21212121212
"147","T1-52_2_0","High","sparse",98,4568.18181818182
"148","T1-53_1_0","Low","sparse",98,3919.19191919192
"149","T1-53_2_0","Low","sparse",98,3989.89898989899
"150","T1-54_1_0","Mid-Short","standard",98,3249.38271604938
"151","T1-54_2_0","Mid-Short","standard",98,3491.35802469136
"152","T1-55_1_0","Mid-Short","dense",98,4380.24691358025
"153","T1-55_2_0","Mid-Short","dense",98,4348.14814814815
"154","T1-56_1_0","Low","dense",98,5051.85185185185
"155","T1-56_2_0","Low","dense",98,3960.49382716049
"156","T1-57_1_0","Mid-Long","sparse",98,4005.05050505051
"157","T1-57_2_0","Mid-Long","sparse",98,4328.28282828283
"158","T1-58_1_0","High","dense",98,5204.93827160494
"159","T1-58_2_0","High","dense",98,5891.35802469136
"160","T1-59_1_0","Mid-Short","sparse",98,3941.91919191919
"161","T1-59_2_0","Mid-Short","sparse",98,3808.08080808081
"162","T1-60_1_0","Mid-Long","standard",98,3397.53086419753
"163","T1-60_2_0","Mid-Long","standard",98,3614.81481481481
"164","T2-61_1_0","Low","standard",98,4029.62962962963
"165","T2-61_2_0","Low","standard",98,4074.07407407407
"166","T2-62_1_0","High","sparse",98,5095.9595959596
"167","T2-62_2_0","High","sparse",98,4964.64646464646
"168","T2-63_1_0","Mid-Long","sparse",98,3525.25252525253
"169","T2-63_2_0","Mid-Long","sparse",98,4424.24242424242
"170","T2-64_1_0","Mid-Short","standard",98,3708.64197530864
"171","T2-64_2_0","Mid-Short","standard",98,3923.45679012346
"172","T2-65_1_0","Mid-Long","dense",98,4471.6049382716
"173","T2-65_2_0","Mid-Long","dense",98,3837.03703703704
"174","T2-66_2_0","Mid-Short","sparse",98,4674.24242424242
"175","T2-67_1_0","High","dense",98,4516.04938271605
"176","T2-67_2_0","High","dense",98,4933.33333333333
"177","T2-68_1_0","Low","dense",98,5362.96296296296
"178","T2-68_2_0","Low","dense",98,5362.96296296296
"179","T2-69_1_0","Mid-Short","dense",98,4037.03703703704
"180","T2-69_2_0","Mid-Short","dense",98,5014.81481481481
"181","T2-70_1_0","Low","sparse",98,4030.30303030303
"182","T2-70_2_0","Low","sparse",98,4924.24242424242
"183","T2-71_1_0","High","standard",98,5619.75308641975
"184","T2-72_1_0","Mid-Long","standard",98,4150.61728395062
"185","T2-72_2_0","Mid-Long","standard",98,4982.71604938272
"186","T1-01_1_0","Mid-Long","dense",109,5439.5061728395
"187","T1-01_2_0","Mid-Long","dense",109,5301.23456790123
"188","T1-02_1_0","Mid-Short","sparse",109,4121.71717171717
"189","T1-02_2_0","Mid-Short","sparse",109,4825.75757575758
"190","T1-03_1_0","Mid-Long","sparse",109,4772.72727272727
"191","T1-03_2_0","Mid-Long","sparse",109,4373.73737373737
"192","T1-04_1_0","Low","sparse",109,5199.49494949495
"193","T1-04_2_0","Low","sparse",109,4280.30303030303
"194","T1-05_1_0","Low","standard",109,3970.37037037037
"195","T1-05_2_0","Low","standard",109,4817.28395061728
"196","T1-06_1_0","Mid-Short","standard",109,4864.1975308642
"197","T1-06_2_0","Mid-Short","standard",109,6785.18518518518
"198","T1-07_1_0","Low","dense",109,5940.74074074074
"199","T1-07_2_0","Low","dense",109,5570.37037037037
"200","T1-08_1_0","Mid-Long","standard",109,4641.97530864197
"201","T1-08_2_0","Mid-Long","standard",109,4454.32098765432
"202","T1-09_2_0","Mid-Short","dense",109,4866.66666666667
"203","T1-10_1_0","High","standard",109,4545.67901234568
"204","T1-10_2_0","High","standard",109,4674.07407407407
"205","T1-11_1_0","High","dense",109,5019.75308641975
"206","T1-11_2_0","High","dense",109,5197.53086419753
"207","T1-12_1_0","High","sparse",109,4656.56565656566
"208","T2-37_1_0","High","standard",109,5488.88888888889
"209","T2-37_2_0","High","standard",109,5402.46913580247
"210","T2-38_1_0","Mid-Long","dense",109,5417.28395061728
"211","T2-38_2_0","Mid-Long","dense",109,5545.67901234568
"212","T2-39_1_0","High","sparse",109,4260.10101010101
"213","T2-39_2_0","High","sparse",109,4833.33333333333
"214","T2-40_1_0","Mid-Long","sparse",109,4840.90909090909
"215","T2-40_2_0","Mid-Long","sparse",109,4484.84848484848
"216","T2-42_1_0","Mid-Short","dense",109,5451.85185185185
"217","T2-42_2_0","Mid-Short","dense",109,5943.20987654321
"218","T2-43_1_0","Low","dense",109,5518.51851851852
"219","T2-43_2_0","Low","dense",109,5997.53086419753
"220","T2-44_1_0","Low","standard",109,5595.06172839506
"221","T2-44_2_0","Low","standard",109,5313.58024691358
"222","T2-45_1_0","High","dense",109,4474.07407407407
"223","T2-45_2_0","High","dense",109,5234.56790123457
"224","T2-46_1_0","Mid-Short","standard",109,6022.22222222222
"225","T2-46_2_0","Mid-Short","standard",109,5044.44444444444
"226","T2-47_1_0","Mid-Short","sparse",109,4464.64646464646
"227","T2-47_2_0","Mid-Short","sparse",109,4994.94949494949
"228","T2-48_1_0","Low","sparse",109,4868.68686868687
"229","T2-48_2_0","Low","sparse",109,6118.68686868687
